self,199378
the,104159
def,84434
None,76747
return,60114
for,53685
not,49515
and,44958
dtype,39332
result,38890
import,33693
expected,31695
with,30974
True,30916
from,30829
False,29674
name,28715
str,27363
assert,27245
data,26255
index,23996
else,23759
pytest,20541
value,20399
array,19828
type,18811
list,17228
class,17073
DataFrame,16748
that,16287
path,15392
raise,15265
values,15063
Series,14812
isinstance,14623
int,14525
are,14501
The,14437
object,14259
msg,13916
len,13854
bool,12645
this,12332
axis,11964
LETTER,11938
match,11178
file,10688
other,10544
elif,10359
nan,10140
columns,10102
mark,10089
default,10081
key,9791
append,9507
pandas,9382
args,9363
ValueError,9092
will,8936
LATIN,8748
all,8681
line,8483
can,8012
datetime,8002
string,7810
try,7804
method,7767
copy,7705
kwargs,7684
parametrize,7617
This,7604
obj,7599
set,7494
raises,7429
except,7358
tuple,7280
arr,7210
assert_equal,7206
freq,7090
assert_frame_equal,6997
left,6933
idx,6830
range,6800
Index,6762
right,6653
names,6605
ser,6386
node,6254
float,6241
__init__,6113
res,6109
version,6105
only,6042
use,5915
which,5878
SMALL,5863
should,5824
format,5766
sys,5755
get,5693
size,5681
text,5642
used,5594
must,5565
function,5539
one,5516
CAPITAL,5476
test,5461
dict,5434
mask,5422
have,5392
TypeError,5388
start,5294
out,5291
items,5282
when,5271
any,5271
module,5228
options,5200
but,5089
func,4991
error,4971
numpy,4908
shape,4840
assert_series_equal,4778
table,4694
types,4671
cls,4663
end,4656
first,4634
join,4614
parser,4599
axes,4599
item,4578
Return,4510
code,4427
Timestamp,4383
foo,4359
level,4324
pass,4319
mode,4267
font,4249
context,4238
loc,4193
Returns,4182
errors,4168
arange,4143
has,4089
info,4059
number,4045
WITH,4026
fig,4016
astype,4007
lines,3966
base,3948
Any,3933
bytes,3921
lambda,3919
color,3914
filename,3845
getattr,3843
new,3833
random,3798
ndarray,3781
like,3757
case,3731
optional,3729
same,3717
exp,3711
write,3684
deprecated,3661
ignore,3652
See,3529
where,3526
time,3517
val,3506
Parameters,3486
width,3481
encoding,3463
arg,3460
plt,3456
int64,3447
style,3432
given,3426
column,3413
output,3400
MultiIndex,3388
offset,3366
input,3363
check,3327
may,3322
argument,3310
Python,3290
using,3274
periods,3261
empty,3259
kind,3254
param,3213
typ,3203
read,3176
order,3164
request,3163
length,3131
unit,3095
min,3057
non,3047
max,3016
yield,3016
property,2989
For,2976
group,2972
label,2969
add,2948
frame,2935
float64,2900
prefix,2899
tag,2899
Type,2893
keys,2868
each,2859
matplotlib,2835
NaT,2835
two,2831
date_range,2816
instance,2813
mypy,2790
source,2776
bar,2774
super,2772
message,2771
fill_value,2745
engine,2724
files,2707
com,2696
https,2667
iloc,2663
into,2659
core,2649
assert_index_equal,2638
__name__,2631
arguments,2624
target,2615
state,2595
call,2594
pos,2580
flags,2577
arrays,2576
sort,2558
plot,2552
assert_,2551
groupby,2536
does,2528
then,2527
print,2520
codes,2513
sum,2497
also,2486
header,2476
while,2474
labels,2474
location,2472
more,2451
figure,2418
typing,2403
replace,2389
split,2384
need,2383
count,2375
see,2363
instead,2354
was,2347
continue,2342
dtypes,2329
directory,2324
than,2323
expr,2312
transform,2311
specified,2290
image,2288
datetime64,2272
objects,2267
Path,2258
integer,2240
categories,2235
attr,2235
df2,2222
passed,2206
last,2201
exception,2199
default_rng,2197
lib,2196
element,2178
pip,2176
both,2169
mean,2167
there,2154
option,2144
warnings,2137
here,2129
log,2128
support,2125
subplots,2122
abc,2111
command,2105
strings,2101
single,2096
days,2078
cannot,2068
config,2067
don,2056
row,2038
returns,2026
height,2023
warn,2022
attribute,2017
date,2012
you,1991
close,1989
points,1987
found,1972
url,1972
its,1970
open,1964
zip,1964
current,1961
hasattr,1948
before,1944
python,1938
returned,1935
event,1934
after,1930
repr,1929
some,1924
Categorical,1922
FutureWarning,1908
view,1907
levels,1907
user,1906
glyph,1902
closed,1881
defined,1870
Axes,1870
NaN,1867
operator,1853
ctx,1851
they,1850
called,1839
mpl,1839
fullname,1837
cast,1837
assert_produces_warning,1837
DatetimeIndex,1832
how,1829
point,1828
lower,1827
parent,1826
because,1824
indexer,1822
Check,1818
col,1803
description,1802
assert_numpy_array_equal,1802
cache,1797
different,1789
invalid,1789
scalar,1774
store,1773
TODO,1762
SIGN,1760
top,1753
Examples,1752
valid,1750
writer,1749
break,1746
pattern,1745
Optional,1742
assert_array_equal,1740
Unknown,1735
Timedelta,1734
supported,1731
series,1730
apply,1729
block,1728
BOX,1728
Note,1721
actual,1716
DRAWINGS,1716
indices,1713
pyarrow,1705
missing,1699
buf,1698
methods,1690
original,1681
Test,1681
modules,1679
results,1676
AND,1675
package,1674
reshape,1671
slice,1658
stream,1657
sequence,1657
next,1656
help,1653
keyword,1642
inf,1641
ordered,1640
skipna,1640
Image,1639
second,1632
fixture,1626
map,1622
KeyError,1618
manager,1610
spec,1607
tests,1607
attrs,1607
make,1593
platform,1591
day,1582
root,1575
rng,1573
between,1567
year,1567
just,1564
update,1562
NotImplementedError,1560
pop,1555
Also,1552
sorted,1546
mapping,1544
token,1543
box,1543
example,1541
handle,1540
conn,1530
github,1527
err,1526
DOUBLE,1525
Set,1524
codecs,1521
Period,1519
startswith,1512
collections,1511
parameter,1509
doesn,1500
Callable,1499
fail,1498
reason,1497
timedelta64,1497
extend,1495
body,1494
these,1489
ndim,1480
position,1479
already,1478
elements,1477
Sequence,1471
always,1466
doc,1466
take,1459
stack,1457
either,1454
nodes,1454
offsets,1450
assert_raises,1449
standard_normal,1445
without,1444
variable,1438
compile,1437
CYRILLIC,1432
step,1431
cat,1429
decode,1423
encode,1421
final,1418
accept,1418
Decimal,1416
information,1414
category,1414
glyphs,1414
action,1407
entry,1405
content,1405
field,1398
warning,1395
inplace,1392
sep,1391
contains,1391
functions,1382
complex,1376
since,1374
iterable,1373
buffer,1371
Literal,1368
StringIO,1356
exc,1355
alpha,1352
df1,1348
whether,1341
build,1337
convert,1337
expression,1333
control,1332
enumerate,1329
timedelta,1329
canvas,1328
include,1325
zeros,1318
Use,1317
boolean,1316
headers,1316
would,1314
parse,1313
debug,1313
dictionary,1312
run,1303
attributes,1303
ones,1298
them,1296
del,1291
been,1290
dti,1287
part,1286
callable,1285
fmt,1278
colors,1273
create,1272
want,1269
_data,1263
equal,1256
Exception,1240
classes,1240
month,1238
parameters,1237
annotations,1231
metadata,1229
var,1227
sub,1225
remove,1223
stop,1218
bottom,1214
masked,1209
stdout,1207
zero,1205
following,1199
timeout,1199
integers,1197
available,1193
multiple,1193
OSError,1187
skip,1187
find,1184
org,1184
paths,1181
unique,1181
limit,1180
Final,1178
center,1173
List,1167
classmethod,1164
Union,1164
When,1163
such,1160
params,1156
issues,1154
containing,1151
strip,1151
otherwise,1148
cases,1147
parts,1143
cmap,1142
over,1138
rcParams,1138
fontTools,1138
rows,1134
ret,1131
implementation,1130
Iterable,1122
struct,1118
GREEK,1118
Cannot,1117
get_array,1117
indent,1113
bbox,1113
png,1108
vals,1108
draw,1105
provided,1104
lineno,1104
title,1103
link,1097
logging,1096
int32,1095
float_frame,1095
AttributeError,1093
cython,1093
Instance,1091
window,1089
stderr,1086
fields,1079
html,1079
FieldSpec,1079
host,1078
src,1077
exists,1076
scale,1073
renderer,1071
marker,1067
using_copy_on_write,1067
RIGHT,1066
release,1063
LEFT,1063
DIGIT,1063
future,1058
__future__,1057
Version,1057
possible,1055
suffix,1055
fill,1055
socket,1052
being,1051
dev,1051
full,1050
utf,1049
asarray,1047
behavior,1046
_vendor,1045
keep,1043
Get,1041
process,1041
dir,1040
sure,1039
pad,1038
logger,1038
util,1035
work,1032
overload,1032
response,1031
defn,1031
__class__,1029
avoid,1026
based,1024
characters,1023
klass,1023
reader,1017
tuples,1016
runtime,1015
local,1012
raw,1011
builtins,1011
true,1010
now,1007
required,1005
norm,1001
extra,1001
defaults,999
change,997
intp,997
special,995
TYPE_CHECKING,991
raised,988
read_csv,988
their,987
dropna,986
record,983
back,983
added,979
section,978
legend,977
loop,974
dist,974
distutils,974
testing,973
req,971
mod,969
concat,969
character,968
backend,967
variables,961
needed,959
isna,956
round,954
through,953
numeric_only,953
finally,952
subset,948
tables,948
common,947
PeriodIndex,946
strict,945
filled,945
coordinates,941
most,937
even,936
vmin,936
tree,934
flag,932
precision,929
compression,927
about,925
Defaults,922
float32,921
created,919
console,917
bit,915
existing,914
num,914
upper,912
docstring,910
dates,907
Name,906
display,905
numbers,905
escape,904
distribution,904
repeat,903
ref,903
vmax,901
what,900
removed,897
math,895
abs,895
all_parsers,889
ext,887
coverage,887
specific,884
ttFont,884
Codec,882
Format,879
done,878
server,877
from_tuples,875
groups,874
Create,872
partial,872
newline,870
meth,869
Text,869
formatter,868
grouped,866
functools,863
system,862
matches,861
_testing,861
override,860
layout,860
UTC,860
filter,859
http,859
per,858
contain,857
protocol,857
verbose,854
Eastern,854
fallback,853
old,853
MARK,850
ACUTE,848
Whether,847
within,846
alias,846
could,845
__all__,842
assert_almost_equal,841
side,840
dest,840
Mapping,840
get_proper_type,840
na_value,839
signature,838
above,836
dpi,836
CONTROL,834
standard,831
got,831
Tuple,831
ARABIC,831
none,830
red,829
patch,829
note,828
to_datetime,828
negative,827
named,825
cols,825
setting,824
uses,823
align,818
packages,817
hash,817
interval,817
lookup,816
ImportError,815
direction,815
min_periods,815
main,814
rolling,813
namespace,808
report,808
maximum,807
operation,807
kwds,807
blocks,806
char,806
extension,805
doctest,804
child,803
real,802
__repr__,802
means,802
pygments,802
VERTICAL,801
Notes,798
head,797
long,794
drop,794
cmd,794
shares_memory,794
allow,793
json,793
shift,790
handler,787
stub,786
exceptions,783
All,783
reference,782
agg,782
AnyType,781
allowed,778
fillna,777
api,776
off,774
ufunc,774
double,772
regex,769
byte,768
details,768
reindex,768
std,766
Add,762
seconds,761
address,760
u200d,760
insert,759
resample,759
way,758
formats,757
relative,756
directly,756
union,756
Expression,756
angle,756
clear,755
port,755
subprocess,753
_internal,752
set_index,751
entries,750
global,749
delta,749
our,747
equivalent,747
matching,747
ExtensionArray,747
Iterator,746
minor,746
environ,743
decimal,742
numeric,742
form,741
converted,741
subclass,740
constructor,740
still,738
Zzzz,738
setup,737
HORIZONTAL,737
below,734
total,734
changed,734
Convert,734
RangeIndex,734
times,730
major,730
works,729
too,728
ax1,728
env,727
binary,727
Invalid,725
were,723
ast,722
CategoricalIndex,722
casting,721
pickle,720
AssertionError,720
memory,719
bounds,719
_values,718
x00,715
fname,715
install,715
script,714
traceback,714
along,712
timezone,711
Self,711
__dict__,710
ids,710
those,709
Only,709
def_gen,709
Axis,708
space,705
auto,705
assignment,705
NotImplemented,703
via,702
statement,701
load,700
units,700
These,699
Interval,698
definition,696
compatibility,695
Windows,693
calls,690
corresponding,690
__getitem__,689
seek,688
ascending,688
grid,687
_mask,687
index_col,686
validate,684
hour,684
BytesIO,683
setattr,682
ticks,682
locals,679
tool,679
Hashable,679
scheme,678
as_unit,678
from_arrays,678
inspect,676
plugin,676
patterns,675
unicode,672
subtype,672
SINGLE,672
xml,671
_api,671
LIGHT,669
_pytest,669
connection,667
chunk,667
endswith,664
IndexError,664
Error,663
least,663
pre,662
generic,661
origin,660
pen,660
bins,660
API,659
instances,659
minimum,659
another,658
inner,658
pyplot,658
environment,657
itertools,657
three,656
select,655
search,653
under,653
scope,653
until,652
abstractmethod,652
__doc__,651
extensions,651
children,650
stacklevel,649
present,649
xfail,649
lexers,648
normal,647
iterator,647
changes,646
DIAERESIS,646
period_range,645
sock,643
SparseArray,643
might,642
requires,642
merge,642
misc,642
baz,642
correct,640
during,640
equals,640
Args,640
parsing,637
Number,637
library,636
tzinfo,636
Int64,636
identifier,635
versions,635
parsed,635
ensure,634
interpolation,633
simple,632
clip,632
npt,632
diff,631
contents,630
Make,629
frame_or_series,629
ArrayLike,629
ignored,628
properties,628
axs,626
bound,625
DeprecationWarning,624
dirname,624
uint64,624
program,623
meta,623
compare,622
chunksize,622
CIRCUMFLEX,622
null,621
place,619
exist,619
failed,619
executable,617
TimedeltaIndex,617
reduce,616
any_string_dtype,616
CategoricalDtype,616
arg_types,616
PEP,615
implemented,615
normalize,615
CallableType,615
glyphName,613
show,612
currently,612
uint16,612
versionadded,611
artist,611
nested,609
prop,609
add_argument,607
later,605
RuntimeError,605
styler,605
image_comparison,605
outer,604
sparse,603
etc,602
vertical,602
tick,602
messages,601
CHARACTER,600
specify,598
Can,598
components,598
compat,598
many,597
comment,597
orient,596
calling,595
Context,595
once,594
itself,593
__slots__,593
int8,593
ddof,593
ax2,593
callback,591
exit,590
commands,590
sign,590
NumPy,590
importorskip,590
necessary,589
basename,588
issue,588
props,588
register,587
inside,587
visitor,587
bits,586
regular,585
Style,585
contour,585
lists,583
fixed,583
status,583
installed,583
access,582
unpack,582
ascii,582
Default,582
positions,581
dot,579
IntervalIndex,579
callee,579
member,578
vertices,576
add_subplot,576
template,575
ctypes,574
pack,574
session,574
infer,574
uint8,573
interface,571
green,571
orientation,571
palette,570
actually,569
Otherwise,568
operations,568
__new__,568
thread,568
difference,567
locations,567
median,567
representation,566
_core,566
_libs,564
exact,563
blue,562
staticmethod,561
define,560
period,559
condition,559
indexes,559
sym,559
graph,558
iter,558
needs,557
numba,557
int16,556
incompatible,555
multi,555
stmt,555
compiler,553
masked_array,552
internal,551
optimize,550
col1,549
forward,548
ops,547
well,546
safe,544
TypeOfAny,544
query,543
handles,542
tolerance,542
Raises,541
floating,540
rest,539
You,539
xaxis,538
linewidth,538
explicitly,537
put,536
deep,536
outside,536
ravel,536
lvalue,536
itemsize,535
know,534
nrows,533
datetime_series,533
family,532
charset,532
wrapper,531
around,531
checks,531
codec,531
noqa,531
keepdims,531
comparison,530
checking,529
Array,528
mixed,527
lst,527
using_infer_string,526
never,525
DOWN,525
filterwarnings,524
encoded,524
explicit,524
built,523
cause,523
locale,523
_mgr,523
unknown,522
unless,521
false,521
reverse,521
generated,519
force,519
positional,519
__str__,518
shared,518
stale,518
tags,518
NDArray,518
pat,517
opt,517
signal,517
conversion,515
URL,515
chunks,515
There,514
sources,514
fontsize,514
directories,513
idx1,513
stat,512
usage,512
GRAVE,512
fig_ref,512
marks,510
dependencies,510
tz_localize,510
domain,509
reset,509
Case,508
inherited,508
operand,507
urllib,505
pair,504
less,504
hook,504
running,504
documentation,504
bad,504
random_st,504
save,503
__call__,502
arg_kinds,502
feature,501
UTF,501
SKIP,501
fig_test,501
collection,500
bool_,500
isn,499
Remove,499
including,499
horizontal,499
linspace,499
absolute,498
__eq__,498
XXX,497
records,497
post,497
option_context,497
tokens,496
facecolor,496
segment,495
desired,494
cbook,493
symbol,492
sort_values,492
appropriate,491
yet,490
application,490
Figure,490
TypeInfo,490
custom,489
applied,488
inputs,488
idx2,488
engine_kwargs,486
padding,485
literal,484
anchor,484
ret_type,484
timestamp,483
from_product,482
compatible,481
__main__,481
tolist,481
dst,481
button,481
rvalue,481
